Designator,Mid X,Mid Y,Layer,Rotation
C11,71.354999,-252.825024,T,0.0
C11,251.205014,-210.835019,T,0.0
C11,191.255009,-210.835019,T,0.0
C11,131.305004,-210.835019,T,0.0
C11,71.354999,-210.835019,T,0.0
C11,251.205014,-168.845014,T,0.0
C11,191.255009,-168.845014,T,0.0
C11,131.305004,-168.845014,T,0.0
C11,71.354999,-168.845014,T,0.0
C11,251.205014,-126.855009,T,0.0
C11,191.255009,-126.855009,T,0.0
C11,131.305004,-126.855009,T,0.0
C11,71.354999,-126.855009,T,0.0
C11,251.205014,-84.865004,T,0.0
C11,191.255009,-84.865004,T,0.0
C11,131.305004,-84.865004,T,0.0
C11,71.354999,-84.865004,T,0.0
C11,251.205014,-42.874999,T,0.0
C11,191.255009,-42.874999,T,0.0
C11,131.305004,-42.874999,T,0.0
C11,71.354999,-42.874999,T,0.0
C12,246.125014,-264.755024,T,90.0
C12,186.175009,-264.755024,T,90.0
C12,126.225004,-264.755024,T,90.0
C12,66.274999,-264.755024,T,90.0
C12,246.125014,-222.765019,T,90.0
C12,186.175009,-222.765019,T,90.0
C12,126.225004,-222.765019,T,90.0
C12,66.274999,-222.765019,T,90.0
C12,246.125014,-180.775014,T,90.0
C12,186.175009,-180.775014,T,90.0
C12,126.225004,-180.775014,T,90.0
C12,66.274999,-180.775014,T,90.0
C12,246.125014,-138.785009,T,90.0
C12,186.175009,-138.785009,T,90.0
C12,126.225004,-138.785009,T,90.0
C12,66.274999,-138.785009,T,90.0
C12,246.125014,-96.795004,T,90.0
C12,186.175009,-96.795004,T,90.0
C12,126.225004,-96.795004,T,90.0
C12,66.274999,-96.795004,T,90.0
C12,246.125014,-54.804999,T,90.0
C12,186.175009,-54.804999,T,90.0
C12,126.225004,-54.804999,T,90.0
C12,66.274999,-54.804999,T,90.0
C13,222.945014,-276.185024,T,0.0
C13,162.995009,-276.185024,T,0.0
C13,103.045004,-276.185024,T,0.0
C13,43.094999,-276.185024,T,0.0
C13,222.945014,-234.195019,T,0.0
C13,162.995009,-234.195019,T,0.0
